Date,KO,PEP
2020-07-15,39.02320098876953,111.96170806884766
2020-07-16,38.81294250488281,112.12079620361328
2020-07-17,39.37641906738281,112.7740249633789
2020-07-20,38.78770065307617,111.4759292602539
2020-07-21,39.696006774902344,112.5813980102539
2020-07-22,40.77251052856445,113.90459442138672
2020-07-23,40.60430908203125,114.80068969726562
2020-07-24,40.78091812133789,113.94649505615234
2020-07-27,40.77251052856445,115.29481506347656
2020-07-28,40.52019500732422,115.05195617675781
2020-07-29,40.38563919067383,115.5125961303711
2020-07-30,40.10810089111328,115.31156158447266
2020-07-31,39.72964096069336,115.28643798828125
2020-08-03,38.9390869140625,114.48246002197266
2020-08-04,39.26708221435547,115.1273422241211
2020-08-05,39.71282196044922,114.10560607910156
2020-08-06,39.931488037109375,113.77899932861328
2020-08-07,40.20061492919922,114.5159683227539
2020-08-10,40.133331298828125,113.8794937133789
2020-08-11,40.30995178222656,113.15925598144531
2020-08-12,40.73045349121094,115.4036865234375
2020-08-13,40.688411712646484,115.65495300292969
2020-08-14,40.747276306152344,115.20266723632812
2020-08-17,40.545440673828125,115.50418090820312
2020-08-18,40.7220573425293,115.66329193115234
2020-08-19,39.83897399902344,114.27311706542969
2020-08-20,39.82215881347656,114.49923706054688
2020-08-21,39.76328659057617,114.281494140625
2020-08-24,40.34358596801758,115.26969146728516
2020-08-25,40.293128967285156,114.98497772216797
2020-08-26,40.503379821777344,115.96479797363281
2020-08-27,40.5622444152832,115.90617370605469
2020-08-28,41.90788650512695,117.19586181640625
2020-08-31,41.655574798583984,117.29639434814453
2020-09-01,41.31075668334961,116.56778717041016
2020-09-02,43.05166244506836,120.00141143798828
2020-09-03,42.45454406738281,117.55780029296875
2020-09-04,42.92551040649414,117.04328155517578
2020-09-08,41.89105987548828,114.33564758300781
2020-09-09,42.21064758300781,115.65152740478516
2020-09-10,42.05086135864258,113.66928100585938
2020-09-11,42.94233322143555,114.55498504638672
2020-09-14,42.99319839477539,115.28036499023438
2020-09-15,43.28145217895508,114.39470672607422
2020-09-16,43.06101989746094,113.85484313964844
2020-09-17,42.857547760009766,112.35344696044922
2020-09-18,42.77277374267578,110.89420318603516
2020-09-21,41.619728088378906,110.7001953125
2020-09-22,42.10298538208008,111.46778869628906
2020-09-23,40.873634338378906,110.49776458740234
2020-09-24,41.28907775878906,110.98698425292969
2020-09-25,41.3060302734375,112.64868927001953
2020-09-28,41.78081130981445,116.3769302368164
2020-09-29,41.475589752197266,115.69369506835938
2020-09-30,41.857120513916016,116.9083251953125
2020-10-01,41.69602584838867,118.76398468017578
2020-10-02,41.84864807128906,116.45283508300781
2020-10-05,41.86559295654297,116.34320068359375
2020-10-06,41.492557525634766,114.46218872070312
2020-10-07,42.01820373535156,115.567138671875
2020-10-08,42.78124237060547,116.27570343017578
2020-10-09,43.077972412109375,116.77337646484375
2020-10-12,43.31537628173828,119.88587188720703
2020-10-13,42.57777404785156,121.07516479492188
2020-10-14,42.49298858642578,120.21481323242188
2020-10-15,42.38276290893555,119.2954330444336
2020-10-16,42.41667175292969,119.5484619140625
2020-10-19,42.06907272338867,117.81929779052734
2020-10-20,42.60319900512695,117.84459686279297
2020-10-21,42.38276290893555,117.75181579589844
2020-10-22,42.9677619934082,117.76026916503906
2020-10-23,42.83211898803711,117.71809387207031
2020-10-26,42.221683502197266,116.45283508300781
2020-10-27,42.306453704833984,117.34693145751953
2020-10-28,40.661685943603516,113.17162322998047
2020-10-29,40.71255111694336,113.01982116699219
2020-10-30,40.746463775634766,112.42936706542969
2020-11-02,41.22124481201172,113.99827575683594
2020-11-03,41.84015655517578,115.59246826171875
2020-11-04,41.68754959106445,116.28416442871094
2020-11-05,41.91645812988281,116.44440460205078
2020-11-06,41.92494583129883,116.72277069091797
2020-11-09,44.570152282714844,116.78179931640625
2020-11-10,45.76559066772461,119.54000854492188
2020-11-11,45.42646408081055,121.37882995605469
2020-11-12,44.94319534301758,121.32820892333984
2020-11-13,45.31624221801758,122.06208801269531
2020-11-16,45.655364990234375,122.94773864746094
2020-11-17,45.51123046875,122.50911712646484
2020-11-18,44.60406494140625,120.94022369384766
2020-11-19,45.04493713378906,120.88961029052734
2020-11-20,44.654937744140625,120.97393798828125
2020-11-23,44.66341781616211,120.63658142089844
2020-11-24,45.121246337890625,121.48849487304688
2020-11-25,44.875370025634766,121.5981216430664
2020-11-27,44.68037033081055,121.96929168701172
2020-11-30,44.09078598022461,121.65718078613281
2020-12-01,44.46675491333008,123.20925903320312
2020-12-02,44.526573181152344,121.98614501953125
2020-12-03,45.09906005859375,122.71076965332031
2020-12-04,46.01334762573242,123.90008544921875
2020-12-07,45.27851104736328,123.4923095703125
2020-12-08,45.44085693359375,123.6197280883789
2020-12-09,45.56902313232422,123.76419830322266
2020-12-10,45.329769134521484,122.89768981933594
2020-12-11,45.58611297607422,123.15251922607422
2020-12-14,45.517757415771484,122.5239028930664
2020-12-15,46.00481033325195,122.98265838623047
2020-12-16,45.33831024169922,123.08454895019531
2020-12-17,45.517757415771484,123.78118896484375
2020-12-18,45.91936111450195,124.81754302978516
2020-12-21,45.124698638916016,123.5177993774414
2020-12-22,45.08197021484375,122.34550476074219
2020-12-23,45.35540771484375,122.67681884765625
2020-12-24,45.66301345825195,123.22897338867188
2020-12-28,46.278236389160156,124.80057525634766
2020-12-29,46.252601623535156,125.23381042480469
2020-12-30,46.517486572265625,125.14035034179688
2020-12-31,46.85927963256836,125.98136138916016
2021-01-04,45.08197021484375,122.55786895751953
2021-01-05,44.586387634277344,122.92316436767578
2021-01-06,43.1679573059082,121.41954803466797
2021-01-07,42.689449310302734,121.02876281738281
2021-01-08,43.646461486816406,122.48139953613281
2021-01-11,42.89452362060547,120.70597839355469
2021-01-12,42.81763458251953,120.14529418945312
2021-01-13,42.8603401184082,121.13069152832031
2021-01-14,42.06569290161133,120.42562103271484
2021-01-15,41.612815856933594,120.11128997802734
2021-01-19,41.450462341308594,120.68046569824219
2021-01-20,41.59572982788086,120.0603256225586
2021-01-21,41.826438903808594,118.59918975830078
