AAPL,MSFT,Spread_Diff
60.09312057495117,132.64329528808594,-72.55017471313477
67.29277038574219,151.50106811523438,-84.20829772949219
58.63576126098633,129.17124938964844,-70.53548812866211
61.213985443115234,139.80679321289062,-78.59280776977539
59.71546936035156,133.92149353027344,-74.20602416992188
59.25792694091797,136.12489318847656,-76.8669662475586
55.49589538574219,131.01220703125,-75.51631164550781
54.316932678222656,129.70542907714844,-75.38849639892578
59.76630401611328,141.4950714111328,-81.72876739501953
59.43706512451172,140.14059448242188,-80.70352935791016
62.564823150634766,148.90655517578125,-86.34173202514648
59.9744987487793,142.7923126220703,-82.81781387329102
61.6860466003418,152.83644104003906,-91.15039443969727
61.56016159057617,150.4327392578125,-88.87257766723633
58.321048736572266,145.0911407470703,-86.77009201049805
59.29423141479492,148.09576416015625,-88.80153274536133
58.44208908081055,146.73178100585938,-88.28969192504883
63.54042434692383,157.64389038085938,-94.10346603393555
62.804500579833984,155.9459991455078,-93.14149856567383
64.41193389892578,157.51036071777344,-93.09842681884766
64.87674713134766,157.5198974609375,-92.64315032958984
66.15013122558594,157.872802734375,-91.72267150878906
69.49092102050781,165.68490600585938,-96.19398498535156
68.85665130615234,163.94888305664062,-95.09223175048828
69.40376281738281,168.8708038330078,-99.467041015625
68.4620590209961,170.35879516601562,-101.89673614501953
67.04100799560547,166.982177734375,-99.94116973876953
64.96875,160.0762481689453,-95.10749816894531
66.840087890625,165.51324462890625,-98.67315673828125
66.58102416992188,163.5100860595703,-96.92906188964844
68.5031967163086,166.49569702148438,-97.99250030517578
68.55162811279297,166.0187530517578,-97.46712493896484
67.4404525756836,161.9744110107422,-94.5339584350586
69.65554809570312,169.24276733398438,-99.58721923828125
71.12500762939453,170.94061279296875,-99.81560516357422
69.97994232177734,166.51473999023438,-96.53479766845703
70.9700698852539,170.58773803710938,-99.61766815185547
72.03524017333984,172.4191436767578,-100.38390350341797
72.77845001220703,174.1169891357422,-101.33853912353516
73.5313491821289,175.1280975341797,-101.59674835205078
75.28150177001953,176.1582489013672,-100.87674713134766
76.46609497070312,178.1232147216797,-101.65711975097656
75.59222412109375,174.08837890625,-98.49615478515625
74.67948913574219,171.45570373535156,-96.77621459960938
75.13829040527344,172.19973754882812,-97.06144714355469
74.694091796875,174.70838928222656,-100.01429748535156
76.45396423339844,176.3776397705078,-99.92367553710938
76.01215362548828,175.15670776367188,-99.1445541381836
77.4904556274414,177.58624267578125,-100.09578704833984
76.9127197265625,175.4532012939453,-98.54048156738281
77.40792846679688,175.52972412109375,-98.12179565429688
76.88362121582031,173.67408752441406,-96.79046630859375
77.21858978271484,173.9036865234375,-96.68509674072266
77.25255584716797,173.5115203857422,-96.25896453857422
77.17733001708984,175.2810516357422,-98.10372161865234
78.12645721435547,174.8793182373047,-96.75286102294922
78.48812866210938,176.86886596679688,-98.3807373046875
78.92020416259766,177.29930114746094,-98.37909698486328
78.24053955078125,174.96534729003906,-96.72480773925781
80.4688949584961,179.05931091308594,-98.59041595458984
80.94467163085938,180.16879272460935,-99.22412109374997
83.5007553100586,181.54620361328125,-98.04544830322266
85.6490249633789,188.2800140380859,-102.630989074707
81.53697204589844,178.1697235107422,-96.63275146484375
